epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.6177,2.06944,2.70786,1.97819,0.00496,0.00483,0.00089,0.00031,nan,nan,nan,0.0702256,0.00330827,0.00330827
2,194.471,1.87198,1.72154,1.853,0.61393,0.20707,0.21988,0.07792,2.16558,5.21752,2.20233,0.0401817,0.00659777,0.00659777
3,309.895,1.76325,1.53858,1.75748,0.66009,0.30888,0.28999,0.10148,2.08415,2.77674,2.05173,0.0100939,0.00984327,0.00984327
4,403.279,1.69297,1.35502,1.69357,0.78263,0.18314,0.19032,0.07557,2.03524,2.58899,2.08877,0.009802,0.009802,0.009802
5,496.376,1.58635,1.2532,1.64004,0.36426,0.41294,0.36935,0.16044,1.94718,1.43867,1.9863,0.009736,0.009736,0.009736
6,587.988,1.47893,1.12088,1.56215,0.75262,0.30777,0.31864,0.12717,2.15891,1.49757,2.29101,0.00967,0.00967,0.00967
7,682.572,1.44761,1.08537,1.54789,0.47335,0.42916,0.43385,0.17691,1.93115,1.63157,1.97999,0.009604,0.009604,0.009604
8,773.746,1.38879,0.99628,1.49591,0.46252,0.50746,0.44949,0.18619,1.92488,1.29882,1.9774,0.009538,0.009538,0.009538
9,866.105,1.3383,0.9397,1.46397,0.47298,0.45684,0.44105,0.17738,1.91991,1.22621,1.95929,0.009472,0.009472,0.009472
10,963.582,1.22425,0.8619,1.38557,0.42124,0.4209,0.41901,0.16974,1.91706,1.18557,2.03352,0.009406,0.009406,0.009406
11,1058.07,1.18254,0.80724,1.36348,0.47654,0.43643,0.46165,0.21074,1.79557,1.01913,1.90965,0.00934,0.00934,0.00934
12,1150.13,1.1234,0.77347,1.32098,0.52717,0.50374,0.45675,0.20122,1.84647,1.01491,1.97268,0.009274,0.009274,0.009274
13,1240.07,1.08714,0.7493,1.30311,0.46602,0.45166,0.45529,0.21208,1.83597,1.04999,1.94471,0.009208,0.009208,0.009208
14,1331.8,1.04859,0.71194,1.28383,0.51648,0.45313,0.46307,0.20402,1.80211,1.11463,1.89065,0.009142,0.009142,0.009142
15,1424.24,1.04771,0.72248,1.27264,0.47764,0.46701,0.42889,0.19616,1.79732,1.08324,1.9282,0.009076,0.009076,0.009076
16,1514.55,1.01588,0.68947,1.25282,0.52786,0.49336,0.45527,0.20545,1.84475,1.07117,1.97561,0.00901,0.00901,0.00901
17,1604.71,0.9934,0.67253,1.23542,0.49187,0.47912,0.45465,0.21234,1.82623,1.0275,1.94148,0.008944,0.008944,0.008944
18,1701.2,0.96661,0.65867,1.22374,0.46341,0.48117,0.45822,0.20686,1.84502,0.97104,1.96063,0.008878,0.008878,0.008878
19,1804.71,0.92803,0.62322,1.20862,0.55256,0.44577,0.47678,0.2245,1.80029,0.95122,1.93334,0.008812,0.008812,0.008812
20,1896.38,0.95029,0.63121,1.20288,0.46851,0.5167,0.48263,0.2176,1.79443,1.00168,1.92968,0.008746,0.008746,0.008746
21,1988.64,0.90857,0.61626,1.18627,0.55084,0.44429,0.46061,0.21135,1.79568,1.01296,1.86797,0.00868,0.00868,0.00868
22,2118.51,0.87741,0.60066,1.17254,0.55899,0.48993,0.49609,0.23412,1.73357,0.92737,1.84941,0.008614,0.008614,0.008614
