epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,99.8033,1.87796,1.95067,1.78187,0.68349,0.33761,0.33529,0.1527,1.75962,1.91613,1.75004,0.000472752,0.000472752,0.000472752
2,192.238,1.87025,1.58381,1.76662,0.62414,0.30803,0.28658,0.13188,1.84339,2.47581,1.81362,0.000939689,0.000939689,0.000939689
3,288.706,1.83751,1.51396,1.73431,0.73534,0.37609,0.38142,0.17182,1.84794,1.63934,1.81656,0.0013972,0.0013972,0.0013972
4,380.31,1.78114,1.40578,1.67127,0.76902,0.36853,0.40012,0.18917,1.83034,1.41462,1.75021,0.00138656,0.00138656,0.00138656
5,472.711,1.71093,1.35798,1.6371,0.82011,0.42109,0.51046,0.25298,1.68018,1.32238,1.6678,0.00137241,0.00137241,0.00137241
6,570.959,1.67976,1.29457,1.60108,0.65892,0.518,0.54615,0.25515,1.64666,1.16806,1.65618,0.00135826,0.00135826,0.00135826
7,675.402,1.65695,1.25521,1.59696,0.7286,0.48903,0.50858,0.23643,1.71492,1.17641,1.69112,0.00134412,0.00134412,0.00134412
8,767.993,1.64308,1.2411,1.57691,0.44657,0.54372,0.49624,0.2516,1.59104,1.18069,1.58638,0.00132997,0.00132997,0.00132997
9,859.494,1.59063,1.18305,1.54064,0.44064,0.42739,0.46679,0.22259,1.6099,1.2104,1.62652,0.00131582,0.00131582,0.00131582
10,963.293,1.57397,1.1522,1.54202,0.51067,0.48606,0.52366,0.257,1.59871,1.08001,1.58329,0.00130168,0.00130168,0.00130168
11,1057.58,1.56922,1.14123,1.53004,0.4906,0.50896,0.53785,0.26614,1.6205,1.02879,1.61248,0.00128753,0.00128753,0.00128753
12,1148.92,1.52788,1.10696,1.50995,0.46958,0.57899,0.55564,0.28354,1.5225,1.06165,1.5475,0.00127338,0.00127338,0.00127338
13,1240,1.51495,1.07608,1.49836,0.53239,0.57783,0.5271,0.27108,1.5741,1.06865,1.60781,0.00125923,0.00125923,0.00125923
14,1333.73,1.50348,1.0523,1.49939,0.71072,0.57583,0.59642,0.30359,1.56199,0.99125,1.58521,0.00124509,0.00124509,0.00124509
15,1429.59,1.48886,1.0386,1.4693,0.63592,0.5444,0.56091,0.27087,1.59673,1.04083,1.61642,0.00123094,0.00123094,0.00123094
16,1520.28,1.49256,1.01643,1.4701,0.60668,0.53771,0.5429,0.27501,1.59325,1.06261,1.59753,0.00121679,0.00121679,0.00121679
17,1612.16,1.45496,1.0052,1.45845,0.64771,0.58016,0.59416,0.3085,1.50754,0.99486,1.56358,0.00120265,0.00120265,0.00120265
18,1721.31,1.45026,0.95325,1.44767,0.71172,0.52469,0.57354,0.2983,1.5912,1.17455,1.59958,0.0011885,0.0011885,0.0011885
19,1815.54,1.44498,0.97156,1.44424,0.64416,0.5819,0.59161,0.30164,1.56745,0.93077,1.58595,0.00117435,0.00117435,0.00117435
20,1906.07,1.41334,0.94252,1.43601,0.64548,0.5398,0.57079,0.28565,1.58144,1.03152,1.60198,0.00116021,0.00116021,0.00116021
21,1996.2,1.40574,0.92294,1.42356,0.62382,0.56732,0.57005,0.29275,1.52995,0.99748,1.56354,0.00114606,0.00114606,0.00114606
22,2088.47,1.39363,0.90242,1.41681,0.62708,0.63579,0.61414,0.30954,1.573,0.91658,1.59338,0.00113191,0.00113191,0.00113191
23,2183.49,1.3626,0.87539,1.38788,0.65212,0.61625,0.60599,0.30163,1.57768,0.95736,1.60988,0.00111776,0.00111776,0.00111776
24,2274.35,1.37255,0.86688,1.39373,0.6316,0.65296,0.62644,0.30394,1.62575,0.96214,1.64242,0.00110362,0.00110362,0.00110362
25,2366.67,1.34743,0.85205,1.39232,0.62621,0.61773,0.62009,0.30767,1.63636,0.91522,1.64859,0.00108947,0.00108947,0.00108947
26,2485.48,1.33132,0.8253,1.37467,0.58193,0.65291,0.61312,0.29764,1.61763,0.92472,1.66752,0.00107532,0.00107532,0.00107532
27,2580.26,1.32028,0.80853,1.36666,0.65919,0.65057,0.63954,0.30506,1.60874,0.93677,1.62252,0.00106118,0.00106118,0.00106118
28,2671.05,1.30856,0.80314,1.35915,0.5844,0.63102,0.59565,0.29882,1.61636,0.86241,1.63121,0.00104703,0.00104703,0.00104703
29,2763.4,1.27742,0.7706,1.3394,0.56648,0.61789,0.61533,0.29194,1.6964,0.88377,1.70756,0.00103288,0.00103288,0.00103288
30,2881.22,1.27451,0.75464,1.33783,0.60801,0.64156,0.59824,0.29157,1.64639,0.92366,1.65995,0.00101873,0.00101873,0.00101873
31,2977.53,1.25719,0.75188,1.33997,0.58247,0.6484,0.61492,0.29024,1.64832,0.93196,1.65114,0.00100459,0.00100459,0.00100459
32,3071.48,1.24981,0.73535,1.31632,0.66724,0.64004,0.64838,0.32373,1.67754,0.88986,1.69669,0.00099044,0.00099044,0.00099044
33,3167.08,1.22419,0.71692,1.29724,0.68435,0.60576,0.63518,0.31486,1.66028,0.83597,1.69551,0.000976293,0.000976293,0.000976293
34,3257.56,1.22439,0.71555,1.31194,0.64619,0.70876,0.67148,0.32965,1.66914,0.87188,1.69279,0.000962146,0.000962146,0.000962146
35,3351.94,1.21197,0.70003,1.28668,0.66528,0.6244,0.65276,0.31359,1.75067,0.92256,1.7389,0.000947999,0.000947999,0.000947999
36,3442.97,1.17691,0.68179,1.28426,0.6607,0.55379,0.6001,0.30824,1.63379,0.89739,1.70204,0.000933851,0.000933851,0.000933851
37,3534.78,1.15766,0.66853,1.27549,0.66526,0.64145,0.63554,0.32993,1.66414,0.84879,1.7225,0.000919704,0.000919704,0.000919704
38,3649.1,1.18291,0.67146,1.27354,0.59083,0.69571,0.5969,0.28286,1.77005,0.89621,1.80292,0.000905557,0.000905557,0.000905557
39,3745.42,1.13761,0.63732,1.25126,0.66774,0.64142,0.61834,0.28418,1.69451,0.83325,1.74863,0.00089141,0.00089141,0.00089141
40,3838.28,1.12972,0.62988,1.24883,0.65986,0.66856,0.63145,0.29347,1.70874,0.86876,1.73985,0.000877263,0.000877263,0.000877263
41,3929.08,1.1277,0.62628,1.23259,0.67358,0.66772,0.65697,0.3177,1.73259,0.81251,1.7902,0.000863116,0.000863116,0.000863116
42,4023.2,1.10802,0.61304,1.2179,0.63716,0.65175,0.61126,0.30063,1.75082,0.89798,1.78588,0.000848969,0.000848969,0.000848969
43,4118.82,1.09952,0.60604,1.23456,0.64708,0.6201,0.59687,0.30452,1.66403,0.90179,1.71413,0.000834822,0.000834822,0.000834822
44,4209.73,1.06863,0.59983,1.22105,0.62652,0.58267,0.58268,0.29803,1.71606,0.8974,1.76401,0.000820675,0.000820675,0.000820675
45,4300.04,1.07563,0.59767,1.20762,0.65451,0.56178,0.57151,0.27584,1.76305,0.88277,1.81345,0.000806528,0.000806528,0.000806528
46,4411.12,1.04033,0.58668,1.20718,0.61494,0.60405,0.609,0.29788,1.6556,0.82153,1.71014,0.00079238,0.00079238,0.00079238
47,4520.85,1.05511,0.57195,1.18852,0.68594,0.63151,0.62318,0.31512,1.69909,0.83072,1.7423,0.000778233,0.000778233,0.000778233
48,4611.85,1.0175,0.55848,1.18989,0.62647,0.63589,0.63003,0.30969,1.75033,0.85432,1.82191,0.000764086,0.000764086,0.000764086
49,4702.66,0.99838,0.54668,1.16972,0.64727,0.68082,0.62049,0.3005,1.72251,0.85683,1.8208,0.000749939,0.000749939,0.000749939
50,4795.74,0.99735,0.54408,1.17322,0.70057,0.62225,0.62442,0.29404,1.77084,0.83338,1.8276,0.000735792,0.000735792,0.000735792
51,4899.22,1.015,0.55296,1.17939,0.68286,0.6193,0.6042,0.28513,1.78368,0.88489,1.86544,0.000721645,0.000721645,0.000721645
52,4995.73,0.98626,0.53492,1.15682,0.53692,0.62556,0.57555,0.27606,1.77469,0.90805,1.83115,0.000707498,0.000707498,0.000707498
53,5087.71,0.96525,0.51803,1.14413,0.61958,0.61587,0.60645,0.289,1.78988,0.83524,1.89517,0.000693351,0.000693351,0.000693351
54,5220.36,0.98609,0.54004,1.1606,0.71558,0.60879,0.64669,0.3059,1.77456,0.86271,1.86588,0.000679204,0.000679204,0.000679204
55,5324.35,0.94781,0.5137,1.11667,0.6635,0.65121,0.60153,0.27336,1.78843,0.86731,1.87682,0.000665057,0.000665057,0.000665057
56,5419.1,0.94657,0.51624,1.13331,0.62724,0.61093,0.5985,0.29683,1.85092,0.88175,1.94006,0.000650909,0.000650909,0.000650909
57,5509.74,0.9264,0.50644,1.12862,0.5396,0.67729,0.58616,0.28201,1.82918,0.86532,1.93,0.000636762,0.000636762,0.000636762
58,5600.77,0.92167,0.49458,1.11511,0.58797,0.67032,0.60832,0.2896,1.77624,0.83492,1.84571,0.000622615,0.000622615,0.000622615
59,5706.36,0.89695,0.48767,1.11224,0.63018,0.70569,0.64031,0.32153,1.77317,0.85709,1.86871,0.000608468,0.000608468,0.000608468
60,5800.29,0.90528,0.49183,1.12105,0.64803,0.68267,0.62313,0.29179,1.77715,0.82533,1.89718,0.000594321,0.000594321,0.000594321
61,5891.98,0.88917,0.48052,1.10385,0.6276,0.68182,0.61315,0.29101,1.80485,0.85722,1.97566,0.000580174,0.000580174,0.000580174
62,6010.74,0.87776,0.4731,1.10154,0.63922,0.65393,0.61307,0.30002,1.80108,0.81768,1.91843,0.000566027,0.000566027,0.000566027
63,6107.49,0.87446,0.46396,1.08419,0.64797,0.70826,0.62301,0.30496,1.81155,0.85328,1.9126,0.00055188,0.00055188,0.00055188
64,6198.17,0.86099,0.4682,1.0851,0.58,0.66765,0.61613,0.30606,1.76849,0.81469,1.91842,0.000537733,0.000537733,0.000537733
65,6288.51,0.85924,0.46707,1.08642,0.64489,0.63303,0.61071,0.30218,1.79699,0.84491,1.96092,0.000523586,0.000523586,0.000523586
66,6386.43,0.85023,0.46508,1.08636,0.62884,0.68046,0.60615,0.29272,1.80852,0.81349,1.98271,0.000509438,0.000509438,0.000509438
67,6480.75,0.83702,0.45148,1.08815,0.6729,0.64926,0.60749,0.2867,1.82011,0.85513,1.93849,0.000495291,0.000495291,0.000495291
68,6572.77,0.81539,0.44305,1.05611,0.62549,0.69476,0.61994,0.30113,1.80411,0.83377,1.97664,0.000481144,0.000481144,0.000481144
69,6663.53,0.81423,0.4422,1.05692,0.64673,0.63481,0.59818,0.27743,1.83194,0.85602,1.97452,0.000466997,0.000466997,0.000466997
70,6759.6,0.80873,0.43895,1.06302,0.62428,0.68193,0.61696,0.26747,1.85305,0.85641,1.98758,0.00045285,0.00045285,0.00045285
71,6857.14,0.80047,0.42996,1.05217,0.71202,0.69678,0.65479,0.31673,1.80022,0.85444,1.97552,0.000438703,0.000438703,0.000438703
72,6948.3,0.79941,0.43337,1.04949,0.64184,0.70467,0.65223,0.30523,1.86241,0.84687,2.01658,0.000424556,0.000424556,0.000424556
73,7039.59,0.77766,0.41546,1.03431,0.6925,0.68325,0.63644,0.29043,1.84061,0.85693,2.02595,0.000410409,0.000410409,0.000410409
74,7133.73,0.78512,0.42384,1.05456,0.63974,0.70108,0.64959,0.31863,1.77296,0.83488,1.96685,0.000396262,0.000396262,0.000396262
