epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.4377,1.84759,1.96302,1.69709,0.82419,0.38966,0.4468,0.2073,1.62773,1.5191,1.54402,0.000472752,0.000472752,0.000472752
2,135.373,1.78806,1.46285,1.63376,0.65809,0.28312,0.28038,0.11004,1.98137,3.21474,1.80364,0.000930293,0.000930293,0.000930293
3,200.611,1.75201,1.41795,1.60223,0.76137,0.31261,0.36788,0.17045,1.72083,1.54326,1.63482,0.00136897,0.00136897,0.00136897
4,265.159,1.73498,1.35327,1.577,0.51279,0.49914,0.47893,0.21634,1.66417,1.36873,1.62049,0.00134412,0.00134412,0.00134412
5,330.164,1.66795,1.29417,1.53994,0.72123,0.51191,0.5311,0.2639,1.5874,1.23251,1.53286,0.00131582,0.00131582,0.00131582
6,394.429,1.63581,1.22689,1.5005,0.51064,0.54323,0.57009,0.26551,1.60192,1.10898,1.52903,0.00128753,0.00128753,0.00128753
7,458.488,1.60179,1.22022,1.48177,0.53662,0.52967,0.55283,0.27727,1.56946,1.08777,1.51957,0.00125923,0.00125923,0.00125923
8,522.527,1.58907,1.18722,1.4708,0.59515,0.49275,0.53785,0.2705,1.65949,1.13372,1.55006,0.00123094,0.00123094,0.00123094
9,585.753,1.55184,1.13844,1.44774,0.5743,0.54675,0.55625,0.27893,1.52839,1.08159,1.46705,0.00120265,0.00120265,0.00120265
10,649.462,1.53614,1.10611,1.45087,0.55363,0.52942,0.55763,0.2774,1.58068,1.02889,1.48853,0.00117435,0.00117435,0.00117435
11,712.615,1.51137,1.07838,1.42413,0.63449,0.56468,0.5973,0.3103,1.56356,1.06925,1.51953,0.00114606,0.00114606,0.00114606
12,776.271,1.48041,1.05424,1.41034,0.62145,0.51673,0.57021,0.28815,1.54915,1.06199,1.49931,0.00111776,0.00111776,0.00111776
13,840.373,1.47604,1.01669,1.41101,0.64966,0.54414,0.5703,0.28965,1.53642,0.97467,1.47658,0.00108947,0.00108947,0.00108947
14,903.854,1.44989,0.99445,1.39258,0.62085,0.53923,0.57264,0.29797,1.51192,0.99932,1.46042,0.00106118,0.00106118,0.00106118
15,967.482,1.44542,0.99051,1.37703,0.56284,0.57283,0.57264,0.28347,1.5439,1.04444,1.49125,0.00103288,0.00103288,0.00103288
16,1031.1,1.43343,0.94733,1.36427,0.51356,0.63194,0.60606,0.30112,1.55355,0.98362,1.52177,0.00100459,0.00100459,0.00100459
17,1095,1.41442,0.94545,1.36142,0.66274,0.60214,0.59718,0.2918,1.63004,0.99928,1.54917,0.000976293,0.000976293,0.000976293
18,1158.38,1.40473,0.89667,1.34373,0.56171,0.59395,0.61182,0.314,1.54775,0.91164,1.48487,0.000947999,0.000947999,0.000947999
19,1222.34,1.40172,0.9118,1.34579,0.55072,0.58873,0.60209,0.29281,1.62745,0.98004,1.53399,0.000919704,0.000919704,0.000919704
